lane,lane_label,lane_order,n_physical,delay_dt,dt_ns,metric,dimensions,reference_dimension,comparison_dimension,source_simulation_lanes,contains_theory_baseline,contains_explicit_theory_mixing,d2_fill_ratio,d2_value,d2_ci_low,d2_ci_high,d3_fill_ratio,d3_value,d3_ci_low,d3_ci_high,d4_fill_ratio,d4_value,d4_ci_low,d4_ci_high,delta_d4_minus_d2,significant_d4_minus_d2,delta_d4_minus_d3,significant_d4_minus_d3
theory,Theory baseline,0,2,0,0.0,fidelity,"2,3,4",4,3,markovian_model,True,True,0.5,1.0,1.0,1.0000000000000002,0.75,1.0000000000000002,1.0,1.0000000000000007,1.0,1.0,1.0,1.0,0.0,False,-2.220446049250313e-16,False
theory,Theory baseline,0,2,2048,455.1111111111111,fidelity,"2,3,4",4,3,markovian_model,True,True,0.5,0.9899679267610173,0.9887192763890925,0.991214220618502,0.75,0.9885205727895732,0.9853190044111945,0.9915234375684326,1.0,0.9879799514350911,0.9857421862485728,0.990217646111228,-0.0019879753259262056,False,-0.0005406213544820737,False
theory,Theory baseline,0,2,4096,910.2222222222222,fidelity,"2,3,4",4,3,markovian_model,True,True,0.5,0.9800771861465085,0.9776081721871414,0.9825981770313181,0.75,0.9772336397012426,0.9709501827998871,0.9831425641166992,1.0,0.9761655050344846,0.971760104438055,0.9805711808002143,-0.00391168111202389,False,-0.001068134666757925,False
theory,Theory baseline,0,2,8192,1820.4444444444443,fidelity,"2,3,4",4,3,markovian_model,True,True,0.5,0.9607109996632813,0.9559204747482631,0.97025602246367,0.75,0.9552228424534914,0.9431209508644527,0.9631600574332994,1.0,0.9531378767985009,0.944600081502049,0.9616756523919276,-0.007573122864780402,False,-0.0020849656549905005,False
aer,Aer circuit lane,1,2,0,0.0,fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9501618050572678,0.9480415344238283,0.9522726489731159,0.75,0.939666753536107,0.9380638809010489,0.9412251542049973,1.0,0.9335444434601285,0.9324682002006865,0.9346891997817565,-0.016617361597139224,True,-0.00612231007597841,True
aer,Aer circuit lane,1,2,2048,455.1111111111111,fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9422092346668204,0.9397362249527544,0.9446462937380274,0.75,0.9322593081129962,0.9306422677800569,0.9337062990743988,1.0,0.926475761567501,0.9252526898972417,0.9276597943126553,-0.015733473099319384,True,-0.005783546545495177,True
aer,Aer circuit lane,1,2,4096,910.2222222222222,fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.932981418517372,0.9300288721142007,0.9354908754172457,0.75,0.9221756836729553,0.9205226177672817,0.9238199214980708,1.0,0.9162048732395618,0.9147952011334752,0.9174595881637366,-0.01677654527781025,True,-0.005970810433393536,True
aer,Aer circuit lane,1,2,8192,1820.4444444444443,fidelity,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.9197445233605589,0.9167269755680528,0.9224876008505255,0.75,0.9056793281354629,0.9039704048271654,0.9076160744745824,1.0,0.8993414229792757,0.8979355830183436,0.9007139145012417,-0.020403100381283235,True,-0.006337905156187262,True
hardware,IBM hardware lane,2,2,0,0.0,fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.8789090741788239,0.8635245997611538,0.8933079428687186,0.75,0.8595948493315068,0.8499040983899839,0.870060652408226,1.0,0.8519969472632831,0.8433845102701661,0.8610721808237174,-0.02691212691554079,True,-0.007597902068223639,False
hardware,IBM hardware lane,2,2,64,256.0,fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.8070187847291449,0.7861154187726713,0.8279775290821333,0.75,0.8249832759333116,0.8133945485910054,0.8368362561438698,1.0,0.7652948035139531,0.7554900814435519,0.775248117328633,-0.04172398121519183,True,-0.059688472419358485,True
hardware,IBM hardware lane,2,2,128,512.0,fidelity,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.8091934562627253,0.7882118529219602,0.8311935059030815,0.75,0.8248867851288675,0.8152412903600239,0.8371031272657887,1.0,0.7650855824060983,0.7539171879829683,0.774799319046477,-0.04410787385662707,True,-0.05980120272276923,True
theory,Theory baseline,0,2,0,0.0,leakage,"2,3,4",4,3,markovian_model,True,True,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0.0,False
theory,Theory baseline,0,2,2048,455.1111111111111,leakage,"2,3,4",4,3,markovian_model,True,True,0.5,0.003778057879898896,0.0037780578798987108,0.003778057879899044,0.75,0.002504494492063608,0.0009481065103638109,0.0037496048774235957,1.0,1.3322676295501878e-16,6.661338147750939e-17,2.4424906541753446e-16,-0.003778057879898763,True,-0.002504494492063475,True
theory,Theory baseline,0,2,4096,910.2222222222222,leakage,"2,3,4",4,3,markovian_model,True,True,0.5,0.007534705177782171,0.007534705177781986,0.007534705177782319,0.75,0.0049668647741032135,0.0012842950301130418,0.007421911270096615,1.0,2.886579864025407e-16,2.4424906541753446e-16,3.3306690738754696e-16,-0.007534705177781882,True,-0.004966864774102925,True
theory,Theory baseline,0,2,8192,1820.4444444444443,leakage,"2,3,4",4,3,markovian_model,True,True,0.5,0.014984252682389712,0.014984252682389565,0.014984252682389787,0.75,0.009768910370184652,0.0038036712816002516,0.014541101641052157,1.0,2.2204460492503132e-17,0.0,6.661338147750939e-17,-0.01498425268238969,True,-0.00976891037018463,True
aer,Aer circuit lane,1,2,0,0.0,leakage,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.02006446788805797,0.01857534407891623,0.02139892578125009,0.75,0.013213021408332548,0.012256698585819896,0.014113797131779052,1.0,1.2559397966072084e-16,2.7755575615628914e-17,2.4338170367954615e-16,-0.020064467888057845,True,-0.013213021408332424,True
aer,Aer circuit lane,1,2,2048,455.1111111111111,leakage,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.023449677764785612,0.02181977100478936,0.025262474355914232,0.75,0.015011205716678362,0.01417345645960551,0.015931413757618564,1.0,1.3013895516778006e-16,4.8225312632155294e-17,2.498001805406602e-16,-0.02344967776478548,True,-0.015011205716678232,True
aer,Aer circuit lane,1,2,4096,910.2222222222222,leakage,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.027432243083542137,0.025754864794856402,0.02922872369131724,0.75,0.017244038680246855,0.01619869105736626,0.018233620233756336,1.0,1.3291451272934297e-16,3.469446951953614e-17,2.570860191397629e-16,-0.027432243083542005,True,-0.017244038680246723,True
aer,Aer circuit lane,1,2,8192,1820.4444444444443,leakage,"2,3,4",4,3,"aer_circuit,aer_process_tomography",False,False,0.5,0.0340358668579666,0.03210233746115919,0.03585924333766054,0.75,0.021871199529187785,0.02084675838622191,0.02307179990638859,1.0,1.2732870313669765e-16,4.163336342344337e-17,2.4997365288825794e-16,-0.034035866857966474,True,-0.021871199529187656,True
hardware,IBM hardware lane,2,2,0,0.0,leakage,"2,3,4",4,3,"ibm_runtime,ibm_runtime_process_tomography",False,False,0.5,0.059762707053609275,0.04886897585564453,0.07055462095103322,0.75,0.03877428900109856,0.03283314371422369,0.04431542859853288,1.0,1.3433698597964394e-16,4.163336342344337e-17,2.6072893843931393e-16,-0.05976270705360914,True,-0.03877428900109843,True
