dimension,n_physical,fill_ratio,switching_probability,correlation_time_dt_units,correlation_time_steps,dt_per_step,steps,coupling_strength,samples,probe_pair,blp_measure,trace_distances,increments,positive_increments
2,2,0.5,0.005,199.49958228835612,199.49958228835612,1.0,16,0.4,2048,fourier_k0_vs_k1,1.7872669183469276,"[1.0000000000000002, 0.9210742617774352, 0.6986959195826701, 0.3682805042971733, 0.02095246365532835, 0.3951634237250587, 0.7065182520431673, 0.9053885722054389, 0.9598510736266218, 0.8629405434980418, 0.6308741335856374, 0.3015879997380705, 0.07298547074375158, 0.4317486960796154, 0.7188803503955057, 0.8913517178778607, 0.9213537791193859]","[-0.07892573822256499, -0.22237834219476516, -0.3304154152854968, -0.34732804064184497, 0.3742109600697303, 0.3113548283181086, 0.19887032016227157, 0.05446250142118292, -0.09691053012857997, -0.23206640991240446, -0.3292861338475669, -0.2286025289943189, 0.3587632253358638, 0.2871316543158903, 0.17247136748235503, 0.030002061241525158]","[0.0, 0.0, 0.0, 0.0, 0.3742109600697303, 0.3113548283181086, 0.19887032016227157, 0.05446250142118292, 0.0, 0.0, 0.0, 0.0, 0.3587632253358638, 0.2871316543158903, 0.17247136748235503, 0.030002061241525158]"
2,2,0.5,0.0125,79.49895177091399,79.49895177091399,1.0,16,0.4,2048,fourier_k0_vs_k1,1.6811326073975161,"[1.0000000000000002, 0.9210742617774352, 0.7006075487237855, 0.3731345862314063, 0.012535183067615772, 0.3745774212033155, 0.674127598801318, 0.8632157297169647, 0.9133729549880181, 0.8199325568643625, 0.6027072068553883, 0.29612731579526086, 0.05255684893970643, 0.37961921057174003, 0.6439012352771336, 0.80324534969069, 0.8328516844168203]","[-0.07892573822256499, -0.22046671305364973, -0.3274729624923792, -0.3605994031637905, 0.36204223813569975, 0.2995501775980025, 0.1890881309156467, 0.050157225271053374, -0.09344039812365557, -0.21722535000897425, -0.3065798910601274, -0.24357046685555445, 0.3270623616320336, 0.2642820247053936, 0.15934411441355634, 0.02960633472613039]","[0.0, 0.0, 0.0, 0.0, 0.36204223813569975, 0.2995501775980025, 0.1890881309156467, 0.050157225271053374, 0.0, 0.0, 0.0, 0.0, 0.3270623616320336, 0.2642820247053936, 0.15934411441355634, 0.02960633472613039]"
2,2,0.5,0.025,39.49789020520718,39.49789020520718,1.0,16,0.4,2048,fourier_k0_vs_k1,1.4749343293003523,"[1.0000000000000002, 0.9210742617774352, 0.7035779040116785, 0.3848743432220009, 0.022890042761532142, 0.32870551700462763, 0.6083616316534144, 0.7829647280737959, 0.8302870038302956, 0.7464816595149288, 0.5522573633143477, 0.28073328119295443, 0.023400604365288725, 0.30136946583394436, 0.5251946534883081, 0.6624860384472444, 0.6909379725968775]","[-0.07892573822256499, -0.2174963577657567, -0.3187035607896776, -0.3619843004604688, 0.3058154742430955, 0.27965611464878676, 0.17460309642038152, 0.04732227575649972, -0.08380534431536679, -0.19422429620058113, -0.2715240821213933, -0.2573326768276657, 0.2779688614686556, 0.2238251876543637, 0.13729138495893634, 0.028451934149633096]","[0.0, 0.0, 0.0, 0.0, 0.3058154742430955, 0.27965611464878676, 0.17460309642038152, 0.04732227575649972, 0.0, 0.0, 0.0, 0.0, 0.2779688614686556, 0.2238251876543637, 0.13729138495893634, 0.028451934149633096]"
2,2,0.5,0.05,19.495725746223673,19.495725746223673,1.0,16,0.4,2048,fourier_k0_vs_k1,1.0304807995245173,"[1.0000000000000002, 0.9210742617774352, 0.7121965294998283, 0.41147388502761384, 0.07816406574536103, 0.24144635426272393, 0.4890221208112301, 0.6373917617733378, 0.6738549610122511, 0.6052281445170602, 0.45256317437229676, 0.24541467853111215, 0.025214243123247555, 0.1849492182754916, 0.34459688509652253, 0.43998593319328966, 0.4600041473808748]","[-0.07892573822256499, -0.20887773227760698, -0.3007226444722144, -0.3333098192822528, 0.1632822885173629, 0.24757576654850616, 0.1483696409621077, 0.03646319923891328, -0.06862681649519087, -0.15266497014476343, -0.2071484958411846, -0.2202004354078646, 0.15973497515224405, 0.15964766682103093, 0.09538904809676713, 0.020018214187585148]","[0.0, 0.0, 0.0, 0.0, 0.1632822885173629, 0.24757576654850616, 0.1483696409621077, 0.03646319923891328, 0.0, 0.0, 0.0, 0.0, 0.15973497515224405, 0.15964766682103093, 0.09538904809676713, 0.020018214187585148]"
2,2,0.5,0.1,9.491221581029905,9.491221581029905,1.0,16,0.4,2048,fourier_k0_vs_k1,0.47530041761679453,"[1.0000000000000002, 0.9210742617774352, 0.7249309285524836, 0.46014128157799916, 0.1807873386447747, 0.07878294728590757, 0.2648510436516287, 0.3774331857134485, 0.40957111379159583, 0.37829871799670456, 0.3005367315780168, 0.19372347802217943, 0.07897025896521884, 0.03310518995982361, 0.11158766031649284, 0.16133512746807005, 0.17761744107092986]","[-0.07892573822256499, -0.1961433332249516, -0.2647896469744845, -0.27935394293322446, -0.10200439135886713, 0.18606809636572114, 0.11258214206181982, 0.032137928078147304, -0.03127239579489127, -0.07776198641868776, -0.10681325355583737, -0.11475321905696059, -0.04586506900539523, 0.07848247035666922, 0.04974746715157721, 0.01628231360285981]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.18606809636572114, 0.11258214206181982, 0.032137928078147304, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07848247035666922, 0.04974746715157721, 0.01628231360285981]"
2,2,0.5,0.2,4.481420117724551,4.481420117724551,1.0,16,0.4,2048,fourier_k0_vs_k1,0.07444099908692599,"[1.0000000000000002, 0.9210742617774352, 0.7567270276092446, 0.5525465978589787, 0.35542466603458817, 0.18196628325585623, 0.05543739767911769, 0.026660335048223145, 0.0747620223889885, 0.09856639282484142, 0.10110133413514913, 0.08252697720147678, 0.058250566880890704, 0.04302075725563414, 0.03979392742927907, 0.038805153484377214, 0.028819803759380015]","[-0.07892573822256499, -0.16434723416819064, -0.20418042975026585, -0.19712193182439058, -0.17345838277873193, -0.12652888557673853, -0.028777062630894547, 0.048101687340765364, 0.023804370435852915, 0.002534941310307709, -0.018574356933672348, -0.024276410320586077, -0.015229809625256566, -0.003226829826355068, -0.0009887739449018565, -0.009985349724997199]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048101687340765364, 0.023804370435852915, 0.002534941310307709, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,2,0.75,0.005,199.49958228835612,199.49958228835612,1.0,16,0.4,2048,fourier_k0_vs_k1,1.7356448784992096,"[1.0000000000000002, 0.895137187343142, 0.6293250897896223, 0.3051102598659262, 0.03607638991506561, 0.33230422454333336, 0.6432956824335874, 0.8800462677931409, 0.9496563019976477, 0.8244310526331363, 0.5603412454890112, 0.2504349848917492, 0.06894280511298385, 0.3669490687406867, 0.6532517831879792, 0.8544654920807929, 0.8910077715296112]","[-0.10486281265685826, -0.26581209755351964, -0.3242148299236961, -0.2690338699508606, 0.29622783462826774, 0.310991457890254, 0.2367505853595535, 0.06961003420450684, -0.1252252493645114, -0.2640898071441251, -0.309906260597262, -0.18149217977876536, 0.2980062636277029, 0.28630271444729244, 0.20121370889281376, 0.03654227944881827]","[0.0, 0.0, 0.0, 0.0, 0.29622783462826774, 0.310991457890254, 0.2367505853595535, 0.06961003420450684, 0.0, 0.0, 0.0, 0.0, 0.2980062636277029, 0.28630271444729244, 0.20121370889281376, 0.03654227944881827]"
3,2,0.75,0.0125,79.49895177091399,79.49895177091399,1.0,16,0.4,2048,fourier_k0_vs_k1,1.5839640399914825,"[1.0000000000000002, 0.895137187343142, 0.6312659608382561, 0.31088269069211333, 0.030223151926526318, 0.3110009234808025, 0.6040170925568111, 0.822148289938446, 0.8850244768803955, 0.770082098624585, 0.5285685375469962, 0.24288158554302308, 0.050550816831667796, 0.3187786571210119, 0.5734643371093053, 0.7470762013712613, 0.7797135318692809]","[-0.10486281265685826, -0.2638712265048858, -0.3203832701461428, -0.280659538765587, 0.2807777715542762, 0.29301616907600864, 0.2181311973816349, 0.06287618694194952, -0.11494237825581055, -0.2415135610775888, -0.2856869520039731, -0.1923307687113553, 0.2682278402893441, 0.25468567998829345, 0.17361186426195596, 0.032637330498019645]","[0.0, 0.0, 0.0, 0.0, 0.2807777715542762, 0.29301616907600864, 0.2181311973816349, 0.06287618694194952, 0.0, 0.0, 0.0, 0.0, 0.2682278402893441, 0.25468567998829345, 0.17361186426195596, 0.032637330498019645]"
3,2,0.75,0.025,39.49789020520718,39.49789020520718,1.0,16,0.4,2048,fourier_k0_vs_k1,1.3239531637829227,"[1.0000000000000002, 0.895137187343142, 0.6353286638155683, 0.32200145723306134, 0.03867955442666728, 0.26771499953176625, 0.53260591215394, 0.7237203963454203, 0.7782008369796213, 0.6810570831293018, 0.4760483852580705, 0.23064494758468596, 0.028175021684694372, 0.24555274398882695, 0.4478252486737681, 0.583776903345473, 0.6126069029146631]","[-0.10486281265685826, -0.25980852352757366, -0.31332720658250696, -0.2833219028063941, 0.22903544510509896, 0.2648909126221738, 0.19111448419148025, 0.05448044063420099, -0.09714375385031948, -0.20500869787123127, -0.24540343767338457, -0.20246992589999158, 0.21737772230413258, 0.20227250468494115, 0.13595165467170495, 0.02882999956919008]","[0.0, 0.0, 0.0, 0.0, 0.22903544510509896, 0.2648909126221738, 0.19111448419148025, 0.05448044063420099, 0.0, 0.0, 0.0, 0.0, 0.21737772230413258, 0.20227250468494115, 0.13595165467170495, 0.02882999956919008]"
3,2,0.75,0.05,19.495725746223673,19.495725746223673,1.0,16,0.4,2048,fourier_k0_vs_k1,0.8831462135388854,"[1.0000000000000002, 0.895137187343142, 0.6441101386510545, 0.3463191093425207, 0.07456198899522229, 0.1954837907035532, 0.414481434536071, 0.5655437808311048, 0.6085852193435035, 0.5397219424052414, 0.392067246750818, 0.21033780746518244, 0.04259423681152765, 0.14775351839044792, 0.28159628924411917, 0.3682735947096335, 0.3917172200021319]","[-0.10486281265685826, -0.2510270486920875, -0.2977910293085338, -0.2717571203472984, 0.12092180170833092, 0.2189976438325178, 0.1510623462950338, 0.04304143851239872, -0.06886327693826211, -0.1476546956544234, -0.18172943928563556, -0.16774357065365478, 0.10515928157892027, 0.13384277085367124, 0.08667730546551433, 0.023443625292498382]","[0.0, 0.0, 0.0, 0.0, 0.12092180170833092, 0.2189976438325178, 0.1510623462950338, 0.04304143851239872, 0.0, 0.0, 0.0, 0.0, 0.10515928157892027, 0.13384277085367124, 0.08667730546551433, 0.023443625292498382]"
