dimension,n_physical,physical_hilbert_dimension,fill_ratio,delay_dt,dt_ns,shots,state_family,simulation_lane,backend_name,correction_mode,depolarizing_1q,depolarizing_2q,t1,t2,fidelity,leakage,in_subspace_fidelity,avg_probe_fidelity,avg_probe_leakage,avg_probe_in_subspace_fidelity,probe_ensemble_size,observed_fidelity,observed_leakage,observed_in_subspace_fidelity,observed_avg_probe_fidelity,observed_avg_probe_leakage,observed_avg_probe_in_subspace_fidelity,confidence_level,bootstrap_samples,avg_probe_fidelity_bootstrap_mean,avg_probe_leakage_bootstrap_mean,avg_probe_in_subspace_fidelity_bootstrap_mean,avg_probe_fidelity_ci_low,avg_probe_fidelity_ci_high,avg_probe_leakage_ci_low,avg_probe_leakage_ci_high,avg_probe_in_subspace_fidelity_ci_low,avg_probe_in_subspace_fidelity_ci_high,fidelity_ci_low,fidelity_ci_high,leakage_ci_low,leakage_ci_high,in_subspace_fidelity_ci_low,in_subspace_fidelity_ci_high
2,2,4,0.5,0,0.0,8192,canonical_probe_average,aer_circuit,aer_simulator,dynamic,0.001,0.01,0.00012,8e-05,0.9532080904105442,0.019855936254091024,0.9725071737417536,0.9532080904105442,0.019855936254091024,0.9725071737417536,3.0,0.9533894856770835,0.019775390624999962,0.9726125937743632,0.9533894856770835,0.019775390624999962,0.9726125937743632,0.95,200,0.9532080904105442,0.019855936254091024,0.9725071737417536,0.950432332547305,0.95634908941109,0.01790345494935529,0.021696375815733356,0.9704270661528118,0.9747352662612815,0.950432332547305,0.95634908941109,0.01790345494935529,0.021696375815733356,0.9704270661528118,0.9747352662612815
2,2,4,0.5,2048,455.1111111111111,8192,canonical_probe_average,aer_circuit,aer_simulator,dynamic,0.001,0.01,0.00012,8e-05,0.9450695868229186,0.023295375066702477,0.9675917407726115,0.9450695868229186,0.023295375066702477,0.9675917407726115,3.0,0.9452335812020304,0.023048940131077722,0.9675149197286467,0.9452335812020304,0.023048940131077722,0.9675149197286467,0.95,200,0.9450695868229186,0.023295375066702477,0.9675917407726115,0.9424228043352584,0.9476732395791583,0.021447829282469254,0.02513116645824148,0.9654131243396338,0.9700832604924081,0.9424228043352584,0.9476732395791583,0.021447829282469254,0.02513116645824148,0.9654131243396338,0.9700832604924081
2,2,4,0.5,4096,910.2222222222222,8192,canonical_probe_average,aer_circuit,aer_simulator,dynamic,0.001,0.01,0.00012,8e-05,0.9367528660388443,0.027897473155225304,0.9636135356173443,0.9367528660388443,0.027897473155225304,0.9636135356173443,3.0,0.9370177324228486,0.02770753244656528,0.9636998923473818,0.9370177324228486,0.02770753244656528,0.9636998923473818,0.95,200,0.9367528660388443,0.027897473155225304,0.9636135356173443,0.9338206311814562,0.9398050944010417,0.025919958500460673,0.029880560315202954,0.9607981587346235,0.9662510196497145,0.9338206311814562,0.9398050944010417,0.025919958500460673,0.029880560315202954,0.9607981587346235,0.9662510196497145
2,2,4,0.5,8192,1820.4444444444443,8192,canonical_probe_average,aer_circuit,aer_simulator,dynamic,0.001,0.01,0.00012,8e-05,0.9234704809059037,0.03451596676895756,0.956463757265876,0.9234704809059037,0.03451596676895756,0.956463757265876,3.0,0.9234619140624997,0.034383138020833516,0.9563250494423516,0.9234619140624997,0.034383138020833516,0.9563250494423516,0.95,200,0.9234704809059037,0.03451596676895756,0.956463757265876,0.9203257242838542,0.9265721638997397,0.0322339876153493,0.03701967872960875,0.9538216871126269,0.9589802995644906,0.9203257242838542,0.9265721638997397,0.0322339876153493,0.03701967872960875,0.9538216871126269,0.9589802995644906
3,2,4,0.75,0,0.0,8192,canonical_probe_average,aer_circuit,aer_simulator,dynamic,0.001,0.01,0.00012,8e-05,0.9494346189979342,0.012625244932526081,0.9615537363021628,0.9494346189979342,0.012625244932526081,0.9615537363021628,4.0,0.9493815104166669,0.012603759765624917,0.9614792827922305,0.9493815104166669,0.012603759765624917,0.9614792827922305,0.95,200,0.9494346189979342,0.012625244932526081,0.9615537363021628,0.9469599124307356,0.9517180477462723,0.011444088207169223,0.013780329791920181,0.9594311159828292,0.9637905066374823,0.9469599124307356,0.9517180477462723,0.011444088207169223,0.013780329791920181,0.9594311159828292,0.9637905066374823
3,2,4,0.75,2048,455.1111111111111,8192,canonical_probe_average,aer_circuit,aer_simulator,dynamic,0.001,0.01,0.00012,8e-05,0.9422104584263878,0.015286738616443077,0.9568343821914528,0.9422104584263878,0.015286738616443077,0.9568343821914528,4.0,0.9422709147135415,0.015228271484375,0.9568390397342237,0.9422709147135415,0.015228271484375,0.9568390397342237,0.95,200,0.9422104584263878,0.015286738616443077,0.9568343821914528,0.9392496744791667,0.9450590933175032,0.013903813762859802,0.016541290283203305,0.9544222231115312,0.959236041313877,0.9392496744791667,0.9450590933175032,0.013903813762859802,0.016541290283203305,0.9544222231115312,0.959236041313877
3,2,4,0.75,4096,910.2222222222222,8192,canonical_probe_average,aer_circuit,aer_simulator,dynamic,0.001,0.01,0.00012,8e-05,0.9339253556981566,0.017255617487401658,0.9503236326757961,0.9339253556981566,0.017255617487401658,0.9503236326757961,4.0,0.9340515136718752,0.01727294921874989,0.9504680768942778,0.9340515136718752,0.01727294921874989,0.9504680768942778,0.95,200,0.9339253556981566,0.017255617487401658,0.9503236326757961,0.9311246331007099,0.9366167704264324,0.015531921386718406,0.018616551407965917,0.9474960178854465,0.9528389063489789,0.9311246331007099,0.9366167704264324,0.015531921386718406,0.018616551407965917,0.9474960178854465,0.9528389063489789
3,2,4,0.75,8192,1820.4444444444443,8192,canonical_probe_average,aer_circuit,aer_simulator,dynamic,0.001,0.01,0.00012,8e-05,0.9181880146330059,0.021734610697156473,0.9386033851609636,0.9181880146330059,0.021734610697156473,0.9386033851609636,4.0,0.9182535807291669,0.02175903320312486,0.9386955077710826,0.9182535807291669,0.02175903320312486,0.9386955077710826,0.95,200,0.9181880146330059,0.021734610697156473,0.9386033851609636,0.9151670990066791,0.9212242224460611,0.020293426513672067,0.023044586181640892,0.9357030186291648,0.9409163045267352,0.9151670990066791,0.9212242224460611,0.020293426513672067,0.023044586181640892,0.9357030186291648,0.9409163045267352
4,2,4,1.0,0,0.0,8192,canonical_probe_average,aer_circuit,aer_simulator,dynamic,0.001,0.01,0.00012,8e-05,0.9483857504641316,1.268984917146554e-16,0.9483857504641316,0.9483857504641316,1.268984917146554e-16,0.9483857504641316,5.0,0.9488604369978617,1.554312234475219e-16,0.9488604369978617,0.9488604369978617,1.554312234475219e-16,0.9488604369978617,0.95,200,0.9483857504641316,1.268984917146554e-16,0.9483857504641316,0.9460063969578058,0.9506913674353724,0.0,3.552713678800501e-16,0.9460063969578056,0.9506913674353727,0.9460063969578058,0.9506913674353724,0.0,3.552713678800501e-16,0.9460063969578056,0.9506913674353727
4,2,4,1.0,2048,455.1111111111111,8192,canonical_probe_average,aer_circuit,aer_simulator,dynamic,0.001,0.01,0.00012,8e-05,0.9427683536331751,1.3622436512150672e-16,0.9427683536331751,0.9427683536331751,1.3622436512150672e-16,0.9427683536331751,5.0,0.9433472725793044,8.881784197001253e-17,0.9433472725793042,0.9433472725793044,8.881784197001253e-17,0.9433472725793042,0.95,200,0.9427683536331751,1.3622436512150672e-16,0.9427683536331751,0.940470433948623,0.9450497894412844,0.0,3.5582647939236283e-16,0.9404704339486232,0.9450497894412844,0.940470433948623,0.9450497894412844,0.0,3.5582647939236283e-16,0.9404704339486232,0.9450497894412844
