dimension,n_physical,physical_hilbert_dimension,fill_ratio,delay_dt,dt_ns,shots,state_family,simulation_lane,t1,t2,t_dep,depolarizing_probability,fidelity,leakage,in_subspace_fidelity,avg_probe_fidelity,avg_probe_leakage,avg_probe_in_subspace_fidelity,probe_ensemble_size,confidence_level,bootstrap_samples,ci_method,fidelity_ci_low,fidelity_ci_high,avg_probe_fidelity_ci_low,avg_probe_fidelity_ci_high,leakage_ci_low,leakage_ci_high,avg_probe_leakage_ci_low,avg_probe_leakage_ci_high,in_subspace_fidelity_ci_low,in_subspace_fidelity_ci_high,avg_probe_in_subspace_fidelity_ci_low,avg_probe_in_subspace_fidelity_ci_high
2,2,4,0.5,0,0.0,4096,canonical_probe_average,markovian_model,540540.0,360360.0,360360.0,,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.95,200,probe_resampling,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2,2,4,0.5,2048,455.1111111111111,4096,canonical_probe_average,markovian_model,540540.0,360360.0,360360.0,,0.9899679267610173,0.003778057879898896,0.9937222670022964,0.9899679267610173,0.003778057879898896,0.9937222670022964,3.0,0.95,200,probe_resampling,0.9887192763890925,0.991214220618502,0.9887192763890925,0.991214220618502,0.0037780578798987108,0.003778057879899044,0.0037780578798987108,0.003778057879899044,0.992468881266516,0.9949732872868248,0.992468881266516,0.9949732872868248
2,2,4,0.5,4096,910.2222222222222,4096,canonical_probe_average,markovian_model,540540.0,360360.0,360360.0,,0.9800771861465085,0.007534705177782171,0.9875178419433513,0.9800771861465085,0.007534705177782171,0.9875178419433513,3.0,0.95,200,probe_resampling,0.9776081721871414,0.9825981770313181,0.9776081721871414,0.9825981770313181,0.007534705177781986,0.007534705177782319,0.007534705177781986,0.007534705177782319,0.985030083457238,0.9900579719589414,0.985030083457238,0.9900579719589414
2,2,4,0.5,8192,1820.4444444444443,4096,canonical_probe_average,markovian_model,540540.0,360360.0,360360.0,,0.9607109996632813,0.014984252682389712,0.9753255237588682,0.9607109996632813,0.014984252682389712,0.9753255237588682,3.0,0.95,200,probe_resampling,0.9559204747482631,0.97025602246367,0.9559204747482631,0.97025602246367,0.014984252682389565,0.014984252682389787,0.014984252682389565,0.014984252682389787,0.970462124439554,0.9850157473176102,0.970462124439554,0.9850157473176102
3,2,4,0.75,0,0.0,4096,canonical_probe_average,markovian_model,540540.0,360360.0,360360.0,,1.0,0.0,1.0,1.0,0.0,1.0,4.0,0.95,200,probe_resampling,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3,2,4,0.75,2048,455.1111111111111,4096,canonical_probe_average,markovian_model,540540.0,360360.0,360360.0,,0.9885205727895732,0.002504494492063608,0.9910025133360785,0.9885205727895732,0.002504494492063608,0.9910025133360785,4.0,0.95,200,probe_resampling,0.9853190044111945,0.9915234375684326,0.9853190044111945,0.9915234375684326,0.0009481065103638109,0.0037496048774235957,0.0009481065103638109,0.0037496048774235957,0.9881026265014996,0.9924643772423134,0.9881026265014996,0.9924643772423134
3,2,4,0.75,4096,910.2222222222222,4096,canonical_probe_average,markovian_model,540540.0,360360.0,360360.0,,0.9772336397012426,0.0049668647741032135,0.9821115011120205,0.9772336397012426,0.0049668647741032135,0.9821115011120205,4.0,0.95,200,probe_resampling,0.9709501827998871,0.9831425641166992,0.9709501827998871,0.9831425641166992,0.0012842950301130418,0.007421911270096615,0.0012842950301130418,0.007421911270096615,0.9764043561633788,0.9850119998880871,0.9764043561633788,0.9850119998880871
3,2,4,0.75,8192,1820.4444444444443,4096,canonical_probe_average,markovian_model,540540.0,360360.0,360360.0,,0.9552228424534914,0.009768910370184652,0.9646452184425135,0.9552228424534914,0.009768910370184652,0.9646452184425135,4.0,0.95,200,probe_resampling,0.9431209508644527,0.9631600574332994,0.9431209508644527,0.9631600574332994,0.0038036712816002516,0.014541101641052157,0.0038036712816002516,0.014541101641052157,0.9535937663464124,0.9702345695293403,0.9535937663464124,0.9702345695293403
4,2,4,1.0,0,0.0,4096,canonical_probe_average,markovian_model,540540.0,360360.0,360360.0,,1.0,0.0,1.0,1.0,0.0,1.0,5.0,0.95,200,probe_resampling,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
4,2,4,1.0,2048,455.1111111111111,4096,canonical_probe_average,markovian_model,540540.0,360360.0,360360.0,,0.9879799514350911,1.3322676295501878e-16,0.9879799514350912,0.9879799514350911,1.3322676295501878e-16,0.9879799514350912,5.0,0.95,200,probe_resampling,0.9857421862485728,0.990217646111228,0.9857421862485728,0.990217646111228,6.661338147750939e-17,2.4424906541753446e-16,6.661338147750939e-17,2.4424906541753446e-16,0.985742186248573,0.9902176461112282,0.985742186248573,0.9902176461112282
